#	"City ID"	"City Name"	"Airport code"	"Country ID"	"Country name"#	"Region ID"	"Region name"	"Continent ID"	"Continent name"	"Hemisphere ID"
	209	Tabora	TBO	214	Tanzania	4	Eastern Africa	0	Africa	1
	210	Mtwara	MYW	214	Tanzania	4	Eastern Africa	0	Africa	1
	211	Mwanza	MWZ	214	Tanzania	4	Eastern Africa	0	Africa	1
	212	Bukoba	BKZ	214	Tanzania	4	Eastern Africa	0	Africa	1
	213	Lake Manyara	LKY	214	Tanzania	4	Eastern Africa	0	Africa	1
	214	Mbeya	MBI	214	Tanzania	4	Eastern Africa	0	Africa	1
	215	Arusha	ARK	214	Tanzania	4	Eastern Africa	0	Africa	1
	216	Dar Es Salaam	DAR	214	Tanzania	4	Eastern Africa	0	Africa	1
	217	Maun	MUB	33	Botswana	16	Southern Africa	0	Africa	1
	218	Kasane	BBK	33	Botswana	16	Southern Africa	0	Africa	1
	219	Gaborone	GBE	33	Botswana	16	Southern Africa	0	Africa	2
	220	Francistown	FRW	33	Botswana	16	Southern Africa	0	Africa	1
	221	Phnom Penh	PNH	112	Cambodia	15	South-Eastern Asia	1	Asia	1
	222	Siem Reap	REP	112	Cambodia	15	South-Eastern Asia	1	Asia	1
	223	Sihanoukville	KOS	112	Cambodia	15	South-Eastern Asia	1	Asia	1
	224	Port of Spain	POS	209	Trinidad and Tobago	1	Caribbean	3	North America	1
	225	Tobago	TAB	209	Trinidad and Tobago	1	Caribbean	3	North America	1
	226	Mekele	MQX	67	Ethiopia	4	Eastern Africa	0	Africa	1
	227	Gambela	GMB	67	Ethiopia	4	Eastern Africa	0	Africa	1
	228	Addis Ababa	ADD	67	Ethiopia	4	Eastern Africa	0	Africa	1
	229	Dire Dawa	DIR	67	Ethiopia	4	Eastern Africa	0	Africa	1
	230	Jimma	JIM	67	Ethiopia	4	Eastern Africa	0	Africa	1
	231	Jijiga	JIJ	67	Ethiopia	4	Eastern Africa	0	Africa	1
	232	Humera	HUE	67	Ethiopia	4	Eastern Africa	0	Africa	1
	233	Semera	SZE	67	Ethiopia	4	Eastern Africa	0	Africa	1
	234	Inda Selassie	SHC	67	Ethiopia	4	Eastern Africa	0	Africa	1
